name,url,description,logo,category,subCategory,tags
RunDiffusion,"https://rundiffusion.com","一个提供云端Stable Diffusion服务的平台，让用户无需配置本地环境即可使用。",,AI绘画,专业,"云服务,付费"
Think Diffusion,"https://www.thinkdiffusion.com","另一个在线Stable Diffusion工作室，提供多种模型和工具。",,AI绘画,专业,"云服务,付费"
Mage.space,"https://www.mage.space","一个提供免费、无限制的Stable Diffusion图像生成服务的网站。",,AI绘画,探索,"免费,社区"
RenderNet,"https://rendernet.ai","一个旨在通过AI提升3D渲染效率和质量的平台。",,AI设计,探索,"3D,渲染"
Luma Labs,"https://lumalabs.ai/","专注于3D内容生成的AI公司，其NeRF（神经辐射场）技术和视频生成模型Dream Machine备受关注。",,AI平台,探索,"3D,NeRF,视频"
Polycam,"https://poly.cam","一个领先的3D捕捉应用，可以使用手机摄像头或LiDAR扫描创建高质量的3D模型。",,AI设计,常用,"3D扫描,移动应用"
Scaniverse,"https://scaniverse.com","另一个高质量的3D扫描应用，可以快速将真实世界物体转换成3D模型。",,AI设计,常用,"3D扫描,移动应用"
NVIDIA Canvas,"https://www.nvidia.com/en-us/studio/canvas/","NVIDIA推出的一个应用，利用AI将简单的笔触转换成逼真的风景画。",,AI绘画,专业,"官方,免费,硬件要求"
Google Colab Pro,"https://colab.research.google.com/signup","Google Colab的付费版本，提供更快的GPU、更长的运行时间和更多的内存。",,AI平台,专业,"GPU,付费,开发者"
Paperspace,"https://www.paperspace.com","一个为AI/ML开发者提供云端计算和GPU服务的平台。",,AI平台,专业,"GPU,云服务,付费"
Lambda Labs,"https://lambdalabs.com","提供GPU云、集群和本地工作站，专为深度学习而设计。",,AI平台,专业,"GPU,深度学习,付费"
CoreWeave,"https://www.coreweave.com","一个专注于大规模GPU加速计算的专业云提供商。",,AI平台,专业,"GPU,企业级,付费"
Voicemod,"https://www.voicemod.net","一个面向游戏玩家和内容创作者的实时变声器软件，使用AI技术生成多种声音效果。",,AI音频,常用,"变声器,游戏,免费增值"
Resound,"https://www.resound.fm","一个AI播客编辑工具，可以自动检测并移除填充词（如um, uh），混合和母带处理音频。",,AI音频,专业,"播客,编辑,付费"
Podcastle,"https://podcastle.ai","一个多合一的播客创作平台，提供录音、编辑、转录和AI语音等功能。",,AI音频,常用,"播客,多合一,免费增值"
Adobe Premiere Pro,"https://www.adobe.com/products/premiere.html","专业的视频编辑软件，已集成大量Adobe Sensei AI功能，如场景检测、自动调色、文本转语音等。",,AI视频,专业,"视频编辑,集成,付费"
DaVinci Resolve,"https://www.blackmagicdesign.com/products/davinciresolve","另一款专业的视频剪辑和调色软件，其AI引擎可以实现人脸识别、物体移除、智能重构图等功能。",,AI视频,专业,"视频编辑,集成,免费增值"
Final Cut Pro,"https://www.apple.com/final-cut-pro/","苹果公司的专业视频编辑软件，利用Apple Neural Engine进行AI加速的场景分析和对象跟踪。",,AI视频,专业,"视频编辑,集成,付费"
Klaviyo,"https://www.klaviyo.com/ai","一个专注于电商的邮件和短信营销平台，其AI功能可以帮助预测客户行为、生成营销文案。",,AI营销,专业,"电商,邮件营销,付费"
HubSpot AI,"https://www.hubspot.com/ai","知名的CRM平台HubSpot集成的AI功能，可以帮助营销、销售和客服团队提高效率。",,AI营销,专业,"CRM,集成,企业级"
Mailchimp,"https://mailchimp.com/ai-tools/","流行的邮件营销平台，利用AI帮助用户设计邮件、优化发送时间、生成内容建议。",,AI营销,常用,"邮件营销,集成,免费增值"
SEMrush,"https://www.semrush.com","一个全能的在线营销工具集，其AI功能贯穿于SEO、内容营销、市场研究等多个方面。",,AI营销,专业,"SEO,多合一,付费"
Ahrefs,"https://ahrefs.com","另一个顶级的SEO工具集，同样也开始集成AI功能来辅助关键词研究和内容创作。",,AI营销,专业,"SEO,多合一,付费"
Midjourney_ch,"https://www.midjourney.cn","Midjourney的中文官方合作伙伴，为中国用户提供更便捷的服务。",,AI绘画,常用,"官方,中文"
通义星尘,"https://xingchen.aliyun.com","阿里巴巴推出的角色扮演和社交AI平台。",,AI对话,探索,"国产,角色扮演"
秘塔AI搜索,"https://metaso.cn","一个提供无广告、直达结果的AI搜索引擎。",,AI搜索,探索,"国产,无广告,免费"
天工AI,"https://www.tiangong.cn","昆仑万维推出的AI搜索和对话产品。",,AI搜索,探索,"国产,免费增值"
海螺AI,"https://hailuoyun.com","一个专注于提供AI效率工具的平台。",,AI办公,探索,"国产,效率"
